# IBL IS TURB X S THETA DSTAR HK UE CF RT AMPL
  81 2 T  0.101974E+01  0.493523E-01  0.353739E-02  0.884347E-02  0.250000E+01  0.788679E+00  0.460402E-03  0.278986E+04  0.919511E+01
  82 2 T  0.101974E+01  0.493523E-01  0.707470E-02  0.176867E-01  0.250000E+01  0.654116E+00  0.000000E+00  0.462767E+04  0.919511E+01
  83 2 T  0.102013E+01  0.432886E-01  0.419452E-02  0.617538E-02  0.147225E+01  0.745776E+00  0.000000E+00  0.312818E+04  0.919511E+01
  84 2 T  0.102066E+01  0.417830E-01  0.371731E-02  0.523226E-02  0.140754E+01  0.772426E+00  0.000000E+00  0.287135E+04  0.919511E+01
  85 2 T  0.102139E+01  0.407084E-01  0.340895E-02  0.466289E-02  0.136784E+01  0.792426E+00  0.000000E+00  0.270134E+04  0.919511E+01
  86 2 T  0.102238E+01  0.398206E-01  0.317407E-02  0.424757E-02  0.133821E+01  0.809478E+00  0.000000E+00  0.256934E+04  0.919511E+01
  87 2 T  0.102373E+01  0.390303E-01  0.298059E-02  0.391596E-02  0.131382E+01  0.824930E+00  0.000000E+00  0.245878E+04  0.919511E+01
  88 2 T  0.102557E+01  0.382930E-01  0.281408E-02  0.363719E-02  0.129250E+01  0.839413E+00  0.000000E+00  0.236217E+04  0.919511E+01
  89 2 T  0.102809E+01  0.375808E-01  0.266693E-02  0.339504E-02  0.127302E+01  0.853259E+00  0.000000E+00  0.227558E+04  0.919511E+01
  90 2 T  0.103153E+01  0.368727E-01  0.253477E-02  0.318006E-02  0.125457E+01  0.866650E+00  0.000000E+00  0.219676E+04  0.919511E+01
  91 2 T  0.103622E+01  0.361491E-01  0.241493E-02  0.298625E-02  0.123658E+01  0.879680E+00  0.000000E+00  0.212437E+04  0.919511E+01
  92 2 T  0.104262E+01  0.353886E-01  0.230574E-02  0.280962E-02  0.121854E+01  0.892382E+00  0.000000E+00  0.205760E+04  0.919511E+01
  93 2 T  0.105136E+01  0.345616E-01  0.220611E-02  0.264744E-02  0.120005E+01  0.904748E+00  0.000000E+00  0.199598E+04  0.919511E+01
  94 2 T  0.106329E+01  0.336293E-01  0.211540E-02  0.249787E-02  0.118080E+01  0.916735E+00  0.000000E+00  0.193926E+04  0.919511E+01
